연번,호선,역번호,역명,2022년1월,2022년2월,2022년3월,2022년4월,2022년5월
38,2,228,서울대입구,2430230,2087057,2409022,2610220,2813426
39,2,229,봉천,1173284,1011443,1134139,1232267,1318615
40,2,230,신림,3259231,2815969,3156731,3420974,3685454
41,2,231,신대방,1345562,1162160,1311862,1456040,1559935
42,2,232,구로디지털단지,2918648,2467865,2754468,3005189,3254307
43,2,233,대림(2),1257541,1071275,1207670,1325236,1448459
44,2,234,신도림,2438151,2084180,2333673,2633103,2897439
45,2,235,문래,1044142,888753,1020360,1147483,1233429
46,2,236,영등포구청(2),1130176,967835,1080533,1173078,1245142
47,2,237,당산,970022,824923,961334,1104732,1192248
48,2,238,합정(2),1688057,1420587,1591833,1803311,1996039
49,2,239,홍대입구,3149639,2640959,2947663,3298652,3889773
50,2,240,신촌,1733594,1480713,1701989,1839855,2109407
51,2,241,이대,659971,571997,713797,766899,858117
52,2,242,아현,499207,429312,507474,555447,604726
53,2,243,충정로(2),488939,424238,478161,529139,570625
54,2,244,용답,148617,128388,179132,180845,191116
55,2,245,신답,90400,76470,87020,94908,102936
56,2,246,신설동(2),200061,169907,188484,206276,219883
57,2,247,도림천,70986,60324,70557,79450,77548
58,2,248,양천구청,355476,301123,338625,373352,410906
59,2,249,신정네거리,535001,451297,507759,564625,619423
60,2,250,용두,129485,106009,122542,130251,137172
61,3,309,지축,222581,191248,229223,264167,293781
62,3,310,구파발,1028273,877031,997438,1103193,1244129
63,3,311,연신내(3),1843897,1588745,1799827,1964463,2123950
64,3,312,불광(3),870441,750727,844192,927653,1024351
65,3,313,녹번,739478,628481,721256,790923,858178
66,3,314,홍제,854602,743235,855487,950000,1040631
67,3,315,무악재,201042,172511,193816,217987,237163
68,3,316,독립문,352851,313182,364073,414241,467059
69,3,317,경복궁,979435,846011,1005102,1237884,1722421
70,3,318,안국,1010398,846361,988666,1233558,1465682
71,3,319,종로3가(3),539266,465964,514918,567605,629013
72,3,320,을지로3가(3),503740,416273,465989,533893,596252
73,3,322,동대입구,394311,350222,446979,535715,570912
74,3,323,약수(3),641207,549733,625284,698375,756446
75,3,324,금호,402615,342351,378079,417959,450906
76,3,325,옥수,473133,399105,448376,510697,561907
77,3,326,압구정,1728933,1448438,1551498,1711340,1869988
78,3,327,신사,1677421,1410856,1528926,1675337,1812919
79,3,328,잠원,237362,200200,228384,261733,286917
80,3,329,고속터미널(3),2336338,1942684,2043697,2448269,2907989
81,3,330,교대(3),550915,462621,532504,605781,667252
82,3,331,남부터미널,1487623,1262134,1378451,1553710,1727340
83,3,332,양재,1949712,1628933,1823943,2034818,2232884
84,3,333,매봉,593098,495086,545750,622070,674436
85,3,334,도곡,265234,224728,254275,289661,314054
86,3,335,대치,605192,504925,547058,580535,650592
87,3,336,학여울,97228,100495,128484,128442,170488
88,3,337,대청,477642,410086,463680,512627,557600
89,3,338,일원,477410,408603,467227,517953,568665
90,3,339,수서,901456,767167,850770,964748,1060775
91,3,340,가락시장(3),453683,369339,422039,471530,511298
92,3,341,경찰병원,364595,306549,339903,372576,402102
93,3,342,오금(3),292774,249522,280898,317536,342347
94,4,409,당고개,637733,551567,568551,489298,534878
95,4,410,상계,938632,802326,928171,1039364,1121357
96,4,411,노원(4),1050708,894211,1018772,1119133,1243244
97,4,412,창동,1371445,1175693,1336602,1442960,1582495
98,4,413,쌍문,1435215,1232540,1397188,1525485,1646754
99,4,414,수유,1743761,1512576,1719110,1863624,2026929
100,4,415,미아,731257,640996,755473,814247,876158
101,4,416,미아사거리,1395070,1198865,1357250,1485585,1614568
102,4,417,길음,1005586,857932,1012290,1130849,1273633
103,4,418,성신여대입구,1018649,870927,1043375,1125479,1249610
104,4,419,한성대입구,657208,571660,683989,774158,869472
105,4,420,혜화,1709704,1433696,1623327,1827299,2125352
